alpha_deg,CXda,CYda,CZda,Clda,Cmda,Cnda
-8,-0.0015172999,-0.00079881943,0.00089452066,0.0089288178,0.0015060904,-9.4979071e-05
-7,-0.001508951,-0.00087138544,0.00069117999,0.0089105896,0.0013431321,-6.1062674e-05
-6,-0.001465872,-0.0010174435,0.00069571979,0.0088981438,0.0013065669,-7.2430222e-06
-5,-0.0014812356,-0.0010973727,0.00053984949,0.0088796587,0.00098717044,2.7338341e-05
-4,-0.0015183435,-0.0010097988,0.00029087556,0.0089057464,0.00039267443,4.3250546e-06
-3,-0.0014889858,-0.001306106,0.000491441,0.00883226,0.0010591499,0.00010897776
-2,-0.0014470631,-0.0014495751,0.00012435986,0.0088790267,0.00081742489,0.00014951756
-1,-0.0015245444,-0.00096133736,-9.1281956e-06,0.0089076037,0.00040940454,-1.242826e-05
0,-0.0015826822,-0.0014527614,-0.00083447222,0.008905624,-0.0013660142,0.00014153707
1,-0.0014961739,-0.0011301831,-0.00053125179,0.0088408175,-0.0005414109,4.5076739e-05
2,-0.0015829887,-0.0011907927,-0.0010858469,0.0088535796,-0.0019377511,5.2642118e-05
3,-0.001566251,-0.0014680338,-0.0006450371,0.0088200011,-0.00067076666,0.0001850503
4,-0.0015328186,-0.0014262305,-0.0013902162,0.0089283268,-0.0022859737,0.00014316479
5,-0.0016088531,-0.001712198,-0.0010470677,0.0088947198,-0.0017262407,0.00025891059
6,-0.0015110233,-0.0018695246,-0.0010994029,0.0088707149,-0.0017200346,0.00033213361
7,-0.0014573977,-0.001753131,0.00011596098,0.008862398,-6.0224232e-05,0.00029779626
8,-0.0014814216,-0.0017754832,-0.0013982496,0.0087052217,-0.0036128287,0.00030844562
