alpha_deg,CXde,CYde,CZde,Clde,Cmde,Cnde
-8,-0.00031370385,5.0233721e-07,-0.0089829571,2.9469658e-07,-0.021608774,-2.3001546e-07
-7,-0.00027599563,2.8057758e-07,-0.0090164804,2.846455e-07,-0.021704172,-1.3350333e-07
-6,-0.00023922168,2.5846883e-07,-0.0090345629,2.3765679e-07,-0.021750684,-1.4162962e-07
-5,-0.00020380566,2.2451454e-07,-0.0090467866,2.6609125e-07,-0.021779604,-1.0305725e-07
-4,-0.00016579818,2.2156942e-07,-0.0090787245,2.7468683e-07,-0.021824599,-9.7123458e-08
-3,-0.00012969843,-6.005025e-08,-0.0090614038,2.3913721e-07,-0.021824303,6.419375e-09
-2,-9.3275148e-05,-1.1733888e-07,-0.0090803499,3.6124946e-07,-0.021874109,5.4307083e-08
-1,-5.7353732e-05,1.6908267e-07,-0.0090839229,1.9355433e-07,-0.021883206,-6.7575708e-08
0,-2.0728303e-05,9.31405e-08,-0.0090920739,1.9468179e-07,-0.021904664,-5.8331417e-08
1,1.6130283e-05,2.326825e-08,-0.0090960675,2.1289129e-07,-0.021911175,-3.1740875e-08
2,5.3528325e-05,5.0431417e-08,-0.0090948456,2.3162496e-07,-0.021908097,-2.5294375e-08
3,9.0612898e-05,2.5899917e-08,-0.0090877792,2.3572029e-07,-0.021889049,-2.6482917e-08
4,0.0001272257,5.3485e-08,-0.0090833414,2.4828229e-07,-0.021878763,-2.3133417e-08
5,0.00016379269,-7.418125e-09,-0.0090657015,2.0459425e-07,-0.021831774,3.1162208e-08
6,0.00020158568,3.1058333e-09,-0.0090506137,2.1641429e-07,-0.021794058,6.4149625e-08
7,0.00023922398,1.5059917e-08,-0.0090398959,2.5064638e-07,-0.021757722,3.1359083e-08
8,0.00027535085,2.3287787e-07,-0.0090275035,2.8308e-07,-0.021724191,-3.0722375e-08
