alpha_deg,CXdr,CYdr,CZdr,Cldr,Cmdr,Cndr
-8,-0.00019220664,-0.0030877478,9.8694638e-05,-4.6928705e-05,0.0004249364,0.0010797306
-7,-0.00019387361,-0.0031165253,9.2964039e-05,-4.6111805e-05,0.00040661707,0.0010920885
-6,-0.00019511081,-0.0031478226,5.9542646e-05,-4.2681967e-05,0.00030427636,0.0011054917
-5,-0.00019539639,-0.0031644652,4.7248542e-05,-4.1061366e-05,0.00027076362,0.0011132709
-4,-0.00019638338,-0.003180231,5.3718835e-05,-2.8913152e-05,0.00034175003,0.0011204455
-3,-0.00019436977,-0.003186499,6.1402283e-05,-4.2594886e-05,0.00031124408,0.0011247776
-2,-0.00019232511,-0.0031908224,4.7416813e-05,-4.2622042e-05,0.00026789961,0.0011281371
-1,-0.00018809388,-0.0031863223,1.9379383e-05,-4.0006347e-05,0.00020013241,0.0011277537
0,-0.00019837008,-0.0032450917,3.5508673e-05,-4.1364825e-05,0.00022210425,0.0011528229
1,-0.00019621677,-0.003255745,1.1169406e-05,-3.729502e-05,0.00015760392,0.001158211
2,-0.00019881832,-0.0032783671,5.4964217e-06,-3.634425e-05,0.00013564265,0.0011688348
3,-0.00018338767,-0.0032181335,2.9257511e-05,-3.3798359e-05,0.00018882858,0.001147042
4,-0.00019485543,-0.0032815783,6.1016333e-05,-3.3031962e-05,0.00029061084,0.0011735346
5,-0.00020379964,-0.0033392342,8.8814374e-06,-2.5708315e-05,0.0001334217,0.0011973885
6,-0.00019899187,-0.0033197029,-4.6099905e-05,-2.0007834e-05,-3.3700149e-05,0.0011916294
7,-0.00019553862,-0.0033072144,-7.0090377e-05,-1.426422e-05,-0.00010499813,0.0011894015
8,-0.0001939468,-0.0032988722,-4.1636757e-05,-1.0555052e-05,-2.2571314e-05,0.0011881271
