alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,0.019162215,0.018799399,0.018412718,0.018114726,0.017800668,0.017561071,0.017379945,0.017238264,0.017125923,0.017064805,0.017037225,0.017064368,0.017126123,0.01723863,0.017380453,0.017559766,0.017800098,0.018112915,0.018411613,0.018798932,0.019161845
-7,0.0039119398,0.0033885438,0.0028956107,0.0024887797,0.0021200909,0.0018072558,0.0015658448,0.0013765437,0.0012305453,0.0011405033,0.0011097512,0.00113987,0.0012304489,0.001377191,0.0015624475,0.0018060872,0.0021191524,0.0024876325,0.0028944916,0.0033874706,0.0039126135
-6,-0.0091292216,-0.0097565974,-0.010341992,-0.010842606,-0.011289669,-0.011665832,-0.0119726,-0.012199714,-0.012379986,-0.012479179,-0.012516938,-0.012478864,-0.012379442,-0.012199431,-0.011972956,-0.01166666,-0.011290635,-0.010843304,-0.010343109,-0.0097589327,-0.0091251458
-5,-0.019917654,-0.020657644,-0.021320531,-0.021907041,-0.022421292,-0.022857576,-0.023212472,-0.023479476,-0.023691533,-0.02379344,-0.023852901,-0.023792386,-0.023691139,-0.023479109,-0.023213073,-0.022857621,-0.022422349,-0.021907681,-0.021321273,-0.020658018,-0.019915401
-4,-0.028458935,-0.029290495,-0.030039444,-0.030693237,-0.031265585,-0.031751743,-0.032154277,-0.032457834,-0.032680962,-0.032804907,-0.032847386,-0.032805128,-0.032680401,-0.032457783,-0.032154632,-0.031751622,-0.031266305,-0.030693917,-0.030040069,-0.029291217,-0.028457834
-3,-0.034762304,-0.035668424,-0.036476998,-0.037188613,-0.037812444,-0.038338212,-0.03877148,-0.039106568,-0.03935351,-0.039492122,-0.03954386,-0.039493634,-0.039352389,-0.039105813,-0.038771288,-0.038338633,-0.037812904,-0.037188364,-0.036477543,-0.035668232,-0.034760627
-2,-0.038824237,-0.039781369,-0.040642253,-0.04140502,-0.042068058,-0.042625278,-0.043084331,-0.043441298,-0.043697443,-0.043849738,-0.043901521,-0.043849628,-0.043697236,-0.043440903,-0.043084607,-0.042625561,-0.04206841,-0.041406219,-0.040642607,-0.039781795,-0.038824447
-1,-0.040640219,-0.041638167,-0.042535194,-0.043344351,-0.044025888,-0.044606684,-0.045084481,-0.045455844,-0.045720161,-0.045880479,-0.045933417,-0.045880498,-0.045719865,-0.045455482,-0.045084554,-0.044605973,-0.044025939,-0.043344392,-0.042535759,-0.041638104,-0.040640557
0,-0.040217395,-0.041233836,-0.04215488,-0.042970748,-0.043685187,-0.044281953,-0.044776439,-0.045160304,-0.04541817,-0.045584471,-0.04563952,-0.045584483,-0.045418097,-0.045160113,-0.044776534,-0.044281954,-0.043685603,-0.042971938,-0.042155405,-0.041234184,-0.040218391
1,-0.037540982,-0.038573141,-0.039499853,-0.04032299,-0.041045577,-0.04165547,-0.042159982,-0.042544949,-0.042821819,-0.042991087,-0.043051325,-0.0429911,-0.042821827,-0.042544932,-0.042159986,-0.041655712,-0.041045835,-0.040323005,-0.039500554,-0.038573949,-0.037541583
2,-0.03262846,-0.033656059,-0.034575556,-0.03541166,-0.036125499,-0.036727718,-0.037226187,-0.037613605,-0.037882624,-0.038051308,-0.038110027,-0.038051335,-0.037882732,-0.037613693,-0.037226244,-0.036727596,-0.036125757,-0.035411901,-0.034576235,-0.033657003,-0.032629365
3,-0.025490822,-0.026478376,-0.027381795,-0.028214835,-0.028901106,-0.029496966,-0.029986799,-0.030367034,-0.030629462,-0.030789786,-0.030846087,-0.030789792,-0.030629876,-0.030367338,-0.029986823,-0.029496679,-0.028900566,-0.028215274,-0.027382512,-0.026479317,-0.025491936
4,-0.016157513,-0.017077956,-0.017956631,-0.018704148,-0.019394322,-0.019968903,-0.020444614,-0.020811037,-0.021062957,-0.02121314,-0.021258399,-0.021213032,-0.021063417,-0.020811414,-0.020445102,-0.019969279,-0.019394471,-0.018705034,-0.017957739,-0.017078782,-0.016158632
5,-0.0045711473,-0.0054827776,-0.0063234258,-0.0069970395,-0.0076454727,-0.0081597293,-0.0085972769,-0.0089415405,-0.0091934313,-0.009330179,-0.0093598636,-0.0093301226,-0.0091940024,-0.0089418281,-0.0085977061,-0.0081599628,-0.0076463465,-0.0069984215,-0.0063247931,-0.0054839879,-0.0045728123
6,0.0092346588,0.0083962968,0.0076253234,0.006920793,0.0063071822,0.0057737943,0.005454135,0.0051343495,0.0049049941,0.0048516969,0.0048270719,0.0048513298,0.0049049019,0.0051341929,0.005454228,0.0057737071,0.0063071888,0.006918453,0.0076228129,0.0083946946,0.0092316819
7,0.025240234,0.02451185,0.023811914,0.023177129,0.022624757,0.022137234,0.021745418,0.021456303,0.021267013,0.02112617,0.021053513,0.021128075,0.021267304,0.021456414,0.021746038,0.022136407,0.022624857,0.02317566,0.023810278,0.024508822,0.025238344
8,0.043444369,0.042825933,0.042212855,0.041670074,0.041173132,0.040758401,0.040401008,0.040150427,0.039958054,0.039833196,0.03976518,0.039833727,0.039958904,0.040150971,0.04040128,0.040759352,0.041173237,0.041668646,0.0422128,0.042823688,0.043439576
