alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,0.049789059,0.045484634,0.039806897,0.035210558,0.027549367,0.022901177,0.018503111,0.013925439,0.0091017865,0.0046016347,-2.660266e-06,-0.0046027214,-0.0091024028,-0.013925824,-0.018505094,-0.022902826,-0.027548549,-0.035215613,-0.039813485,-0.045485042,-0.049788491
-7,0.048814304,0.04343325,0.038166356,0.033613883,0.027074582,0.022638976,0.018271785,0.013761622,0.0089983029,0.0043748423,-1.256137e-06,-0.0043770356,-0.0090121677,-0.013762612,-0.018274231,-0.022641514,-0.02707549,-0.033620314,-0.038173659,-0.043439202,-0.048822192
-6,0.047114016,0.04211379,0.037678636,0.033144968,0.026660868,0.02237625,0.018021459,0.013595529,0.0088293989,0.0043897547,-5.90351e-07,-0.0043906185,-0.0088301156,-0.013596273,-0.018023931,-0.022379331,-0.026661316,-0.033151682,-0.037685579,-0.042116957,-0.04714345
-5,0.046235333,0.041809353,0.037272609,0.03253863,0.027795179,0.022011644,0.017678023,0.013308307,0.0088615918,0.0044222086,-1.638951e-06,-0.0044220294,-0.0088613485,-0.013311179,-0.017679377,-0.022014248,-0.027797115,-0.032545106,-0.0372781,-0.041812386,-0.046257157
-4,0.046082525,0.041585468,0.036700585,0.032140733,0.027411047,0.021772467,0.01741058,0.013072314,0.0087853736,0.004289975,5.425408e-06,-0.004295556,-0.0087886052,-0.013070445,-0.017412966,-0.021775207,-0.027410764,-0.032138019,-0.03670135,-0.041588096,-0.046101545
-3,0.046137727,0.041136913,0.036535685,0.031850675,0.027208082,0.022523006,0.017817573,0.012842892,0.0084902262,0.0042143724,7.702087e-06,-0.0042182919,-0.0084889961,-0.012842899,-0.017821623,-0.022524122,-0.027206635,-0.031851671,-0.036538737,-0.041141596,-0.046236774
-2,0.046372986,0.041171614,0.036533518,0.031866447,0.027190062,0.022451959,0.017695374,0.012813392,0.0085309282,0.0042421442,3.51118e-07,-0.0042415225,-0.0085307002,-0.012813196,-0.017700573,-0.022453875,-0.027195904,-0.031875915,-0.036534576,-0.041173636,-0.046366288
-1,0.04672126,0.041497249,0.036876875,0.032154286,0.027421685,0.022624244,0.017984527,0.012894378,0.0085889733,0.0042828748,4.3812e-08,-0.0042827648,-0.0085887639,-0.012893971,-0.017978885,-0.022623026,-0.027429126,-0.032158276,-0.03687496,-0.041493279,-0.046709342
0,0.046793604,0.042101369,0.037429005,0.032762489,0.027815542,0.023099436,0.018504763,0.013478991,0.0086172415,0.0043007401,2.7049e-08,-0.0043007041,-0.0086170647,-0.013478098,-0.018508597,-0.023107717,-0.027821198,-0.032761007,-0.037424108,-0.042095083,-0.046786589
1,0.047550149,0.042852643,0.038162922,0.033381256,0.028397792,0.023658605,0.019049776,0.013733034,0.0092209726,0.0046467317,5.5194e-08,-0.0046467115,-0.0092208564,-0.013733411,-0.019053767,-0.023666399,-0.028402786,-0.033378659,-0.038154877,-0.042847027,-0.047541111
2,0.048441909,0.04377482,0.03905036,0.034158499,0.02896358,0.024218907,0.019594491,0.014480566,0.0093169879,0.0046760173,7.5004e-08,-0.0046760999,-0.009316883,-0.01447886,-0.019598132,-0.024228472,-0.028966863,-0.034155629,-0.039045829,-0.043769892,-0.048434408
3,0.050404438,0.044705277,0.039998838,0.03488181,0.029818015,0.02480702,0.019867154,0.014701567,0.00942784,0.0047094213,1.01703e-07,-0.0047094249,-0.0094279538,-0.014700289,-0.019869671,-0.024813822,-0.029820758,-0.034880601,-0.039995585,-0.044702462,-0.050398701
4,0.053400363,0.047013783,0.042065317,0.03588605,0.030557595,0.025403949,0.020326086,0.015103634,0.0099360992,0.0047588961,3.3355e-08,-0.0047590766,-0.009936203,-0.015102485,-0.020327809,-0.02540888,-0.03055857,-0.035885394,-0.042062285,-0.047011216,-0.053396651
5,0.054908002,0.050130468,0.044982887,0.038280542,0.032806355,0.026395401,0.020809683,0.015386118,0.010068677,0.0047887406,7.503e-08,-0.0047883273,-0.01006894,-0.015385296,-0.020810502,-0.026399048,-0.032807943,-0.038279717,-0.044980807,-0.050129742,-0.054908107
6,0.056418871,0.051530391,0.04615104,0.040926775,0.034937683,0.029707282,0.02273408,0.017351552,0.011348456,0.0053814152,3.98803e-07,-0.0053811481,-0.011348581,-0.017350602,-0.022735084,-0.029710416,-0.034936336,-0.040929167,-0.046149967,-0.051529641,-0.056414659
7,0.057818383,0.052301136,0.047283403,0.04190071,0.035961266,0.029741726,0.024562113,0.018080426,0.011456945,0.0060432195,2.8426e-07,-0.0060414563,-0.011456333,-0.018080198,-0.024562888,-0.029741245,-0.035957958,-0.041900482,-0.047287228,-0.052300102,-0.057823972
8,0.059179283,0.053434388,0.048300676,0.042810986,0.036555499,0.030220274,0.024929614,0.019246385,0.011452943,0.0054875327,3.14794e-07,-0.0054850974,-0.011452976,-0.019247506,-0.024931734,-0.030219451,-0.036553829,-0.042808523,-0.048304545,-0.053442002,-0.059188206
