alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,0.53241385,0.53773631,0.54085343,0.54495995,0.54715166,0.55001713,0.55269732,0.55460108,0.55572144,0.55648344,0.556383,0.55648049,0.5557196,0.55460248,0.55269856,0.55002251,0.54715685,0.54496949,0.54086621,0.53775679,0.53243068
-7,0.44484996,0.4484932,0.45174764,0.45520975,0.45838493,0.46108015,0.4634725,0.46524191,0.46627714,0.46678048,0.46695005,0.46677635,0.46630316,0.4652443,0.46347256,0.46108676,0.45839068,0.45521728,0.45175866,0.44850608,0.44487103
-6,0.35667907,0.36016625,0.36360633,0.36659029,0.36946119,0.37184206,0.37392988,0.37551595,0.37636593,0.37698464,0.37719422,0.37698086,0.37636709,0.37551563,0.37393145,0.37184732,0.36947257,0.36659647,0.36361531,0.36016993,0.35669965
-5,0.26901904,0.27230399,0.27530057,0.27761141,0.27973735,0.2821044,0.28390022,0.28518188,0.2860486,0.2866645,0.28703733,0.28667146,0.28604757,0.28518166,0.28390243,0.28210642,0.27975049,0.27761832,0.27530697,0.27231162,0.26903571
-4,0.18168624,0.18437409,0.18646751,0.18869135,0.19038825,0.19261016,0.19395299,0.19502919,0.19587314,0.1961957,0.19622446,0.19617261,0.19589889,0.1950124,0.193972,0.19262617,0.19039853,0.18871001,0.18647474,0.18437923,0.18170114
-3,0.09423887,0.096047531,0.09794916,0.09955967,0.10101899,0.10237067,0.10363464,0.10459977,0.10515815,0.10557766,0.10555368,0.1056442,0.10517057,0.10462614,0.10363683,0.1023856,0.10104018,0.099557779,0.097952305,0.096065485,0.094271058
-2,0.0067259594,0.0079257445,0.0092653518,0.010625828,0.011687988,0.012720007,0.013663996,0.014580193,0.015012964,0.015262183,0.015312625,0.015262186,0.015013255,0.014579979,0.013662215,0.012709446,0.011676886,0.010625348,0.0092729816,0.0079368706,0.0067394233
-1,-0.08088731,-0.080177781,-0.079318339,-0.078405281,-0.077734761,-0.077045749,-0.076311592,-0.075539291,-0.075253447,-0.075091656,-0.07504673,-0.075091538,-0.07525275,-0.075539558,-0.076315528,-0.077056674,-0.077738771,-0.078404745,-0.079303906,-0.080159396,-0.080875415
0,-0.16886013,-0.16838031,-0.16794921,-0.16761549,-0.16728655,-0.16690451,-0.16652297,-0.16611606,-0.16557358,-0.16550892,-0.16549415,-0.16550868,-0.16557324,-0.1661166,-0.1665229,-0.16689611,-0.16727265,-0.16759392,-0.1679281,-0.16835889,-0.16883547
1,-0.25656084,-0.25661393,-0.25674741,-0.25687578,-0.25692819,-0.25689551,-0.25688102,-0.25668337,-0.25693747,-0.25713206,-0.25721053,-0.25713186,-0.25693699,-0.25668327,-0.25688067,-0.25688618,-0.25690512,-0.25685382,-0.25672002,-0.25659282,-0.25653638
2,-0.34425282,-0.34492691,-0.3455545,-0.3460697,-0.34654959,-0.34689049,-0.34720862,-0.34735978,-0.34750088,-0.347727,-0.34779807,-0.34772662,-0.34750021,-0.34735759,-0.3472085,-0.34687993,-0.34652909,-0.3460639,-0.34553445,-0.34490457,-0.34422629
3,-0.43248926,-0.43319327,-0.43429655,-0.43526881,-0.43613796,-0.43678709,-0.43730289,-0.43765566,-0.43788626,-0.43815495,-0.43826446,-0.43815444,-0.43788604,-0.4376543,-0.43730259,-0.43678207,-0.43612233,-0.43524582,-0.4342773,-0.43317192,-0.4324621
4,-0.52202375,-0.52232524,-0.52407524,-0.52436022,-0.52549914,-0.52649639,-0.52722093,-0.52775983,-0.52817373,-0.52835816,-0.52844775,-0.52835474,-0.52817363,-0.52775873,-0.52722058,-0.52649446,-0.52549909,-0.5243482,-0.52405551,-0.5223054,-0.52199943
5,-0.61027721,-0.61314054,-0.61564387,-0.61498733,-0.6168312,-0.61604541,-0.61686029,-0.61751911,-0.61798942,-0.61818921,-0.6182989,-0.61818757,-0.61798917,-0.61751835,-0.61686185,-0.61604393,-0.61682776,-0.6149794,-0.61563044,-0.6131225,-0.61025521
6,-0.69835438,-0.70182635,-0.70477702,-0.70760072,-0.70991967,-0.71222197,-0.70910602,-0.71031957,-0.71087575,-0.70795407,-0.70776518,-0.70795254,-0.71087615,-0.71032049,-0.7091076,-0.71221971,-0.70992775,-0.70759795,-0.7047684,-0.70180629,-0.69833293
7,-0.78608549,-0.78993826,-0.79357662,-0.79685415,-0.79961769,-0.80146762,-0.80358649,-0.80463794,-0.80508864,-0.80553259,-0.80636449,-0.80554125,-0.80508897,-0.8046423,-0.80358416,-0.80147349,-0.79962578,-0.79686427,-0.79356983,-0.78992997,-0.7860642
8,-0.87345295,-0.87775096,-0.8819299,-0.88568085,-0.88880691,-0.89061077,-0.89301441,-0.89468447,-0.89589865,-0.8961295,-0.89623132,-0.89614206,-0.89590078,-0.89468725,-0.89301454,-0.89061139,-0.88879792,-0.88568891,-0.88192861,-0.87773548,-0.87343086
