alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,-0.0054762859,-0.0049102037,-0.0052334321,-0.0046923528,-0.0034660788,-0.0029467049,-0.0023746003,-0.0016759952,-0.0010674219,-0.00044604265,-1.353102e-06,0.00044352438,0.001064797,0.0016735183,0.0023722581,0.002943334,0.0034625763,0.0046919045,0.0052336832,0.0049107186,0.0054779399
-7,-0.0047782775,-0.0048390713,-0.0040048767,-0.0034859103,-0.0030180858,-0.0025375178,-0.002033657,-0.0014570454,-0.0009318833,-0.00049829019,-1.073097e-06,0.00049566374,0.00093361082,0.0014552833,0.0020315593,0.0025346225,0.0030172556,0.0034857472,0.0040053194,0.0048405259,0.0047808514
-6,-0.0043219519,-0.0037504375,-0.0033532828,-0.0029312332,-0.0025711528,-0.0021385325,-0.0017046273,-0.0012378644,-0.00083992389,-0.00041527977,-1.010306e-06,0.00041324952,0.00083784441,0.0012359946,0.001703176,0.0021361743,0.0025702494,0.0029312279,0.0033536058,0.003751817,0.0043236955
-5,-0.003309767,-0.00300577,-0.0026905448,-0.0024088414,-0.0020748846,-0.0017648624,-0.0014105404,-0.0010509527,-0.0007258178,-0.00037475029,-6.51934e-07,0.00037302161,0.00072371888,0.0010494977,0.0014102887,0.0017637269,0.00207431,0.0024089568,0.0026909685,0.0030065886,0.0033113466
-4,-0.0024578937,-0.0022423718,-0.0020613997,-0.0018244815,-0.0015932599,-0.0013391777,-0.0010892483,-0.00083336603,-0.00056333198,-0.000258264,8.64567e-07,0.00025742218,0.00056297279,0.00083227112,0.0010851072,0.001339005,0.0015928404,0.0018241901,0.0020609475,0.0022449342,0.0024600407
-3,-0.0015901539,-0.0015282263,-0.0013757022,-0.0012312569,-0.0010605507,-0.00090633666,-0.00073978563,-0.00054550599,-0.00036679307,-0.00017442598,-1.615108e-06,0.00017763234,0.00036656858,0.00054520388,0.00073890816,0.00090632608,0.0010623504,0.0012307101,0.0013763307,0.0015294775,0.0015896775
-2,-0.00072566266,-0.00075446626,-0.00068755462,-0.0006139403,-0.00054379725,-0.00046741803,-0.00037117193,-0.00028611309,-0.00019080445,-9.7557783e-05,-2.76213e-07,9.7179371e-05,0.00019024427,0.00028558242,0.00037050091,0.00046678697,0.00054234142,0.00061431345,0.00068814388,0.00075517689,0.00072680371
-1,0.0001333348,2.1039915e-05,3.37701e-06,-5.08621e-07,-1.9668253e-05,-2.1877026e-05,-2.5281334e-05,-2.5628519e-05,-1.6681869e-05,-1.0557037e-05,-1.50453e-07,1.0257224e-05,1.6312663e-05,2.5386329e-05,2.4978538e-05,2.171191e-05,1.931506e-05,1.511116e-06,-2.974299e-06,-1.9552913e-05,-0.00013211452
0,0.00091132392,0.00080122907,0.00069317377,0.00059668148,0.00049841728,0.00040347583,0.00031280447,0.00021783249,0.0001525624,7.7600898e-05,-5.7284e-08,-7.7736149e-05,-0.00015272725,-0.0002179781,-0.00031288006,-0.00040335481,-0.00049777247,-0.0005964063,-0.00069254114,-0.00079978691,-0.00090933608
1,0.0017613822,0.0015636678,0.0013743506,0.0011854296,0.00099792627,0.00081822544,0.00064439698,0.00045775907,0.00028927652,0.00013792796,-3.197e-09,-0.00013791491,-0.00028922887,-0.00045768466,-0.00064433894,-0.00081814637,-0.00099810701,-0.0011842311,-0.0013734025,-0.0015623942,-0.0017595177
