alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,0.094131168,0.09809306,0.10042668,0.10331255,0.10527802,0.10697982,0.10901125,0.11044065,0.11132758,0.11164943,0.11135009,0.11164495,0.11132492,0.1104415,0.10901471,0.10699488,0.10528957,0.10334011,0.10046453,0.098147737,0.094181845
-7,0.081641273,0.084801588,0.087465406,0.090049195,0.092854344,0.095027355,0.097071736,0.098550749,0.09940949,0.099592674,0.099536394,0.099585603,0.099489676,0.098552972,0.097073393,0.095043623,0.092869226,0.090071613,0.087496575,0.084841542,0.081707378
-6,0.068950273,0.072296492,0.075334954,0.077799931,0.080854287,0.082994237,0.085002329,0.086464132,0.087195852,0.087582217,0.087722046,0.08757543,0.08719597,0.086463742,0.085005289,0.083007821,0.080884364,0.077816349,0.075358386,0.072307114,0.069012015
-5,0.056456881,0.0599615,0.063149386,0.064876774,0.066857255,0.070049943,0.072027037,0.073327256,0.074154612,0.074731048,0.075474947,0.074744855,0.074150834,0.07332314,0.072030632,0.070054669,0.06689345,0.064893147,0.063165658,0.0599829,0.056507313
-4,0.044242585,0.047594102,0.049580902,0.052393542,0.054218574,0.05802344,0.059593648,0.060980082,0.062016907,0.06189235,0.061823553,0.061842592,0.062072814,0.060936423,0.059639978,0.058061836,0.054245724,0.05243359,0.049597421,0.047610581,0.044290084
-3,0.031768236,0.03406387,0.036952674,0.0393109,0.041499422,0.043711389,0.045967636,0.047672474,0.04865151,0.049332331,0.049149554,0.049488195,0.048678597,0.047739322,0.045971909,0.043744035,0.041551388,0.03930025,0.036964132,0.034111444,0.03185359
-2,0.019048231,0.02111768,0.023786044,0.026562495,0.028696247,0.030917783,0.032998067,0.03517303,0.036056821,0.036535938,0.036608315,0.036536169,0.036056168,0.035170972,0.032986976,0.030884731,0.028659275,0.026567034,0.023803806,0.021144586,0.019084843
-1,0.0058620222,0.0080589653,0.010689103,0.013424331,0.015513937,0.017629735,0.019879281,0.022127914,0.022990886,0.023470165,0.02360199,0.023470195,0.022990649,0.022125601,0.019865278,0.017593025,0.01549943,0.01343259,0.010720273,0.0080991958,0.0058899372
0,-0.0086307238,-0.0054828584,-0.0026731067,-0.00030840957,0.0018832549,0.0041133065,0.0062305729,0.0083877982,0.0094247582,0.0098714328,0.0099987873,0.0098714391,0.0094245641,0.0083846938,0.0062250763,0.004131235,0.0019178738,-0.00025155526,-0.0026202568,-0.0054343307,-0.0085690682
1,-0.022592248,-0.019405071,-0.016779139,-0.014442559,-0.012193579,-0.0099365192,-0.0079775258,-0.0057878509,-0.0051957186,-0.0048331519,-0.004719332,-0.0048333824,-0.0051960205,-0.0057915215,-0.00798238,-0.0099157752,-0.012134867,-0.014390738,-0.016712296,-0.019356011,-0.022530429
2,-0.037035868,-0.034049392,-0.031379887,-0.028866211,-0.026732043,-0.024506679,-0.022652954,-0.021004047,-0.019794517,-0.019387792,-0.019225053,-0.019388307,-0.019794728,-0.020999011,-0.022658078,-0.024483677,-0.02667097,-0.028848594,-0.03133476,-0.033999992,-0.036975712
3,-0.052426287,-0.049285581,-0.046502291,-0.044071984,-0.041864769,-0.039630344,-0.037736746,-0.036144776,-0.034929326,-0.034469625,-0.034368676,-0.034469988,-0.034930488,-0.036141442,-0.037739492,-0.039621645,-0.04183053,-0.044017386,-0.04646087,-0.049241056,-0.052366759
4,-0.069331573,-0.065625223,-0.063038875,-0.05993124,-0.057448728,-0.055275923,-0.053361854,-0.051853849,-0.050660914,-0.050116647,-0.049902065,-0.050114483,-0.050662936,-0.051852568,-0.053365154,-0.055274476,-0.057453055,-0.059907442,-0.063001339,-0.065585891,-0.069280114
5,-0.086064395,-0.083793359,-0.081539524,-0.077483321,-0.075497655,-0.071489262,-0.069555314,-0.067988774,-0.06673695,-0.066120668,-0.065897898,-0.066119977,-0.066739545,-0.067989302,-0.069563072,-0.071490622,-0.075499333,-0.07747145,-0.081516212,-0.083759407,-0.086020369
6,-0.10354063,-0.10136059,-0.099084095,-0.097165211,-0.095162167,-0.093638116,-0.08826213,-0.086960285,-0.085678468,-0.08281732,-0.082413426,-0.082816605,-0.085682304,-0.086965728,-0.088271354,-0.093639976,-0.095188456,-0.097169415,-0.099074041,-0.10131936,-0.10349983
7,-0.12151297,-0.11939975,-0.11729139,-0.11544877,-0.11358469,-0.1116092,-0.11026658,-0.10837408,-0.10694669,-0.1057083,-0.10586063,-0.10572124,-0.10695211,-0.10838767,-0.11026996,-0.11162925,-0.11362281,-0.11548323,-0.11729068,-0.1193924,-0.12146978
8,-0.14013104,-0.13802615,-0.13603899,-0.13433114,-0.13252288,-0.13027917,-0.12902948,-0.12775036,-0.12661955,-0.12597379,-0.12561545,-0.1259945,-0.1266303,-0.12776461,-0.12903898,-0.13029138,-0.13251715,-0.1343639,-0.13605305,-0.13800271,-0.14008776
