alpha_deg,beta_-10,beta_-9,beta_-8,beta_-7,beta_-6,beta_-5,beta_-4,beta_-3,beta_-2,beta_-1,beta_+0,beta_+1,beta_+2,beta_+3,beta_+4,beta_+5,beta_+6,beta_+7,beta_+8,beta_+9,beta_+10
-8,-0.015488654,-0.014024247,-0.012406357,-0.010900828,-0.0086459351,-0.007153146,-0.0057067662,-0.0042716949,-0.0028280196,-0.0014076392,1.563752e-06,0.0014090742,0.0028292937,0.0042727153,0.005708899,0.0071546662,0.0086467267,0.01090295,0.012408727,0.014024287,0.015488476
-7,-0.015422514,-0.013851723,-0.012293316,-0.010788438,-0.0085735072,-0.0071416371,-0.0056979479,-0.0042659973,-0.0028208959,-0.0013858582,8.56557e-07,0.0013876763,0.0028270378,0.0042671824,0.005701177,0.0071433167,0.0085742262,0.010790974,0.012295725,0.013853651,0.015425124
-6,-0.015313386,-0.013779952,-0.01227439,-0.010760588,-0.0085619669,-0.0071366293,-0.0056916058,-0.0042671075,-0.0028160431,-0.0013939237,6.10207e-07,0.0013949399,0.0028169785,0.0042682332,0.0056930931,0.0071383207,0.008562275,0.01076316,0.012276705,0.013780903,0.015324668
-5,-0.015312548,-0.013814802,-0.012275897,-0.010656352,-0.0091122089,-0.0070988803,-0.005656342,-0.0042531247,-0.0028442547,-0.0014140854,7.91224e-07,0.0014145683,0.0028447246,0.0042548265,0.0056572208,0.0071002347,0.0091129536,0.010658741,0.012277719,0.013815608,0.015320891
-4,-0.015378652,-0.013859741,-0.012189057,-0.010645847,-0.0090708939,-0.0071120569,-0.005655466,-0.0042463743,-0.002842678,-0.0013734012,-1.777707e-06,0.0013757885,0.0028443525,0.0042462838,0.0056565462,0.0071133925,0.009070852,0.010644727,0.012189267,0.013860449,0.015385926
-3,-0.015492005,-0.013776423,-0.012224992,-0.010640071,-0.0090808597,-0.0074975167,-0.0059083605,-0.0042218755,-0.0028068749,-0.0013914326,-2.740823e-06,0.0013936468,0.0028066382,0.0042222913,0.00590997,0.0074981262,0.0090803778,0.010640258,0.012225976,0.01377817,0.015530442
-2,-0.015630415,-0.013836226,-0.012268513,-0.010693476,-0.0091143464,-0.0075118979,-0.0059046041,-0.0042504612,-0.0028288517,-0.0014051077,7.688e-09,0.0014050851,0.0028289601,0.0042506246,0.0059068367,0.0075127089,0.0091168633,0.010696671,0.012268811,0.013836933,0.015627929
-1,-0.015761761,-0.013951614,-0.012382242,-0.010775729,-0.0091783485,-0.0075408005,-0.0059623516,-0.0042929566,-0.0028585962,-0.0014246327,2.4502e-08,0.0014247108,0.0028586179,0.0042929073,0.0059602504,0.007540434,0.0091813862,0.01077721,0.012381465,0.013950016,0.015757077
0,-0.015733671,-0.014123279,-0.01251833,-0.01092495,-0.009252338,-0.0076305749,-0.0060515147,-0.0043780103,-0.0028776449,-0.001435919,1.0392e-08,0.0014359661,0.0028776545,0.0043777309,0.0060531027,0.0076338092,0.0092545408,0.010924446,0.012516524,0.014120896,0.015730974
1,-0.015940777,-0.014314048,-0.012684856,-0.011050662,-0.0093808833,-0.0077406019,-0.0061501725,-0.0044439724,-0.0029546042,-0.0014769334,-3.4611e-08,0.0014769443,0.0029545987,0.0044441904,0.0061517301,0.0077437653,0.0093827923,0.011049743,0.012681811,0.014312077,0.015937393
2,-0.016177641,-0.01454899,-0.012889715,-0.011218109,-0.0095090268,-0.007861078,-0.0062600139,-0.0046712931,-0.0030012407,-0.0015001735,-6.8297e-08,0.0015002033,0.0030012243,0.0046706432,0.0062614143,0.007864758,0.0095102273,0.011217139,0.012888119,0.014547342,0.016174962
3,-0.016531141,-0.01477361,-0.013108428,-0.011387033,-0.0096861564,-0.0080013371,-0.006356873,-0.0047471207,-0.0030592958,-0.0015230956,-6.2756e-08,0.0015230713,0.0030594565,0.0047466543,0.0063577972,0.008003893,0.0096873748,0.011386663,0.013107396,0.014772792,0.016529279
4,-0.016956913,-0.015157248,-0.013455748,-0.011631604,-0.0098738861,-0.0081514357,-0.0064778217,-0.0048476024,-0.0031533006,-0.0015526127,-1.7329e-08,0.0015525697,0.003153361,0.0048472257,0.0064786424,0.0081534233,0.0098743371,0.01163157,0.013454894,0.01515653,0.016955885
5,-0.017274189,-0.015573844,-0.013850294,-0.0119954,-0.010227251,-0.0083352015,-0.006617425,-0.0049332736,-0.0032069711,-0.0015777703,-5.974e-08,0.0015776126,0.0032068846,0.0049329856,0.0066178373,0.0083367862,0.010227815,0.011995366,0.013849921,0.015573962,0.017274752
6,-0.017622156,-0.01588435,-0.01411071,-0.012346526,-0.010492102,-0.0087302389,-0.0069091389,-0.0052033222,-0.0034125286,-0.001646565,-2.19697e-07,0.0016460812,0.0034124874,0.0052029772,0.0069095746,0.0087315552,0.010491888,0.012347805,0.014111184,0.015884591,0.017621398
7,-0.017951124,-0.016150456,-0.014391505,-0.012582484,-0.010729859,-0.0088471855,-0.0071387794,-0.005285728,-0.0034023289,-0.0017246396,-3.45387e-07,0.0017234129,0.0034020553,0.0052854859,0.0071390898,0.0088471843,0.010728789,0.012582556,0.014393468,0.016151028,0.017954005
8,-0.018297183,-0.016453085,-0.014657355,-0.012832997,-0.010928855,-0.0090034168,-0.0072517483,-0.0054688536,-0.0034793085,-0.0017237889,-3.54956e-07,0.001722889,0.0034793376,0.0054694115,0.0072524671,0.0090034964,0.010928457,0.012832174,0.014659304,0.016456371,0.018301794
